ID,Score,Income,Mother_edu,Father_edu,Mother_Prof,Father_Prof,Type_1,Type_2,Students
287,497.6923077,1.833333333,3.5,3.789473684,2.7,2.21875,Public,State_City,652
288,480.2083333,1.660714286,3.486486486,3.619047619,2.666666667,2.277777778,Public,State_City,881
289,485.2903226,1.266129032,3.407407407,4.266666667,2.428571429,2.206896552,Public,State_City,1194
290,508.8329327,2.058894231,3.973404255,4.280193237,2.922651934,2.621621622,Public,State_City,1205
291,489.8068182,1.613636364,3.405405405,3.829268293,2.648648649,2.210526316,Public,State_City,782
292,504.2239884,1.787572254,3.901960784,4.187134503,2.698630137,2.393548387,Public,State_City,1748
293,488.8409091,1.454545455,4,3.666666667,2.25,2.1,Public,State_City,695
294,492.1572165,1.49742268,3.454545455,3.641304348,2.705882353,2.168539326,Public,State_City,901
295,498.9722222,1.513888889,2.875,3.733333333,2.733333333,2.1875,Public,State_City,257
296,515.4308176,2.485849057,4.063829787,4.532894737,3.02962963,2.748251748,Public,State_City,1014
297,528.6746988,2.596385542,4.51048951,4.867924528,3.108695652,2.966442953,Public,State_City,1183
298,497.7794118,1.595588235,3.943396226,4.096774194,2.781818182,2.403225806,Public,State_City,582
299,529.5804795,2.436643836,4.251928021,4.563679245,2.992207792,2.783715013,Public,State_City,1823
300,506.7580645,1.870967742,3.857142857,4.25,2.833333333,2.592592593,Public,State_City,695
301,498.7083334,1.121794872,3.298507463,3.586666667,2.6875,2.294117647,Public,State_City,813
302,489.2091837,1.43877551,3.580645161,3.659090909,2.575757576,2.409090909,Public,State_City,312
303,506.9107143,1.651785714,3.739130435,3.608695652,2.8,2.863636364,Public,State_City,623
304,506.9583333,1.898809524,3.885714286,4.368421053,2.882352941,2.717948718,Public,State_City,420
305,504.252,2.018,3.841121495,4.264957265,2.943396226,2.553571429,Public,State_City,1017
306,519.9123932,2.306980057,4.128617363,4.372781065,3.036666667,2.682847896,Public,State_City,2056
307,501.3586956,1.65,3.75,3.964285714,2.591836735,2.494845361,Public,State_City,1158
308,479.6617647,1.495098039,3.756097561,4.333333333,2.523809524,2.279069767,Public,State_City,410
309,489.5041667,1.727083333,3.352941176,3.681415929,2.591836735,2.198113208,Public,State_City,792
310,469.25,1.25,2,2,3,4,Public,State_City,617
311,544.125,1.5,3,4,3,2,Public,State_City,536
312,503,1.5,4,4.5,2.1678,2,Public,State_City,937
313,450,2.25,2,3,3,2,Public,State_City,326
314,478.875,1.875,4.5,4.5,3.5,3,Public,State_City,296
315,482.875,0.5,3,2,3,2,Public,State_City,815
316,467,2.375,2,3.5,1,3,Public,State_City,782
317,507.25,1.4375,2.5,2.75,3.25,2,Public,State_City,1004
318,439.5,1.75,5,5,3,4,Public,State_City,308
319,472.75,1.458333333,2.333333333,4,2.8,2.6,Public,State_City,628
320,529.125,2.5625,4.5,3.75,2.75,2,Public,State_City,912
321,611.5344828,5.327586207,5.037037037,5.275862069,3.642857143,3.64,Private,Private,779
